ticket_id,source_uri,subject,updated_at,priority,status,body
T-1001,crm/tickets,Không đăng nhập được CRM,2026-02-10,P2,open,"User báo lỗi đăng nhập CRM sau khi đổi mật khẩu."
T-1002,crm/tickets,Yêu cầu hoàn tiền đơn hàng,2026-02-09,P3,open,"Khách hỏi chính sách hoàn tiền cho đơn mua tuần trước."
T-1003,crm/tickets,VPN không kết nối,2026-02-09,P2,resolved,"Cài lại VPN client, đăng nhập SSO thành công."
T-1004,crm/tickets,Sự cố hệ thống thanh toán,2026-02-10,P1,open,"Cổng thanh toán trả lỗi 500, ảnh hưởng nhiều khách."
T-1005,crm/tickets,Quên mật khẩu email,2026-02-08,P3,resolved,"Hướng dẫn khôi phục tài khoản qua OTP email."
T-1006,crm/tickets,Cấp quyền truy cập kho dữ liệu,2026-02-08,P2,open,"Yêu cầu cấp quyền, chờ manager phê duyệt."
T-1007,crm/tickets,Máy in không hoạt động,2026-02-07,P4,resolved,"Khởi động lại driver máy in, đã xử lý."
T-1008,crm/tickets,Lỗi đồng bộ dữ liệu báo cáo,2026-02-07,P2,open,"Job đồng bộ 02:00 thất bại, retry exhausted."
T-1009,crm/tickets,Tài khoản bị khóa,2026-02-06,P3,resolved,"Mở khóa tài khoản sau xác minh danh tính."
T-1010,crm/tickets,Yêu cầu tăng quota lưu trữ,2026-02-06,P3,open,"User cần thêm dung lượng lưu trữ đám mây."
T-1011,crm/tickets,Email spam lọt vào hộp thư,2026-02-05,P4,resolved,"Cập nhật rule lọc spam."
T-1012,crm/tickets,Không mở được file SOP,2026-02-05,P3,resolved,"File PDF hỏng, gửi lại bản mới."
T-1013,crm/tickets,Sự cố mạng văn phòng,2026-02-04,P1,resolved,"Switch tầng 3 lỗi, đã thay thế."
T-1014,crm/tickets,Cài đặt phần mềm kế toán,2026-02-04,P3,open,"Chờ cấp license phần mềm."
T-1015,crm/tickets,Đổi thông tin liên hệ khách,2026-02-03,P4,resolved,"Cập nhật số điện thoại trong CRM."
T-1003,crm/tickets,VPN không kết nối,07/02/26,P2,resolved,"Cài lại VPN client, đăng nhập SSO thành công."
T-1016,crm/tickets,Câu hỏi về SLA sự cố P1,2026-02-10,P2,open,"Khách hỏi thời gian phản hồi cho sự cố P1."
T-1017,crm/tickets,Yêu cầu reset MFA,,P3,open,"User mất thiết bị MFA, cần reset xác thực."
